brand,product_name,product_url,product_image_url,on_sale_flag,sale_price,msrp_price,sale_perc_off
Swarovski,Attract Square Stud Pierced Earrings,https://www.zappos.com/p/swarovski-attract-square-stud-pierced-earrings-cz-white-1/product/9335579/color/849317,https://m.media-amazon.com/images/I/71v7jzpbXWL.AC_SX600.jpg,1,44.25,59.0,25.0
Steve Madden,Tracey Sneaker,https://www.zappos.com/p/steve-madden-tracey-sneaker-black/product/9470764/color/3,https://m.media-amazon.com/images/I/81KUHZqWKGL.AC_SX600.jpg,1,74.99,99.95,25.0
SKECHERS,Bregman - Morago,https://www.zappos.com/p/skechers-bregman-morago-tan/product/9331078/color/20,https://m.media-amazon.com/images/I/71X1Jm554mL.AC_SX600.jpg,1,74.95,80.0,6.0
DV Dolce Vita,Nicola,https://www.zappos.com/p/dv-dolce-vita-nicola-black/product/9464413/color/3,https://m.media-amazon.com/images/I/710oj0R7CGL.AC_SX600.jpg,1,79.0,79.0,0.0
Ben Sherman,NU Casual Chukka,https://www.zappos.com/p/ben-sherman-nu-casual-chukka-navy-pu-leather/product/9190700/color/835835,https://m.media-amazon.com/images/I/71m1jkuTzlL.AC_SX600.jpg,1,90.0,90.0,0.0
Chinese Laundry,Keep Up,https://www.zappos.com/p/chinese-laundry-keep-up-mars-taupe-split-suede/product/9341348/color/884850,https://m.media-amazon.com/images/I/712a7OY7EOL.AC_SX600.jpg,1,99.95,99.95,0.0
Brighton,Interlok Hinged Bangle,https://www.zappos.com/p/brighton-interlok-hinged-bangle-silver/product/9498205/color/632,https://m.media-amazon.com/images/I/61WKfOW-giL.AC_SX600.jpg,1,58.0,58.0,0.0
Carole Hochman,Plush Velour Long Wrap Robe,https://www.zappos.com/p/carole-hochman-plush-velour-long-wrap-robe-navy/product/9483133/color/9,https://m.media-amazon.com/images/I/71Km+oDyVfL.AC_SX1200.jpg,1,59.99,75.0,20.0
Dolce Vita,Mochi,https://www.zappos.com/p/dolce-vita-mochi-off-white-plush/product/9479181/color/900883,https://m.media-amazon.com/images/I/61K03VuLVRL.AC_SX600.jpg,1,59.95,59.95,0.0
UGG,Fluffita,https://www.zappos.com/p/ugg-fluffita-sulfur/product/9404821/color/85461,https://m.media-amazon.com/images/I/71RFjZrkgbL.AC_SX600.jpg,1,99.95,99.95,0.0
Hunter,Original Play Short,https://www.zappos.com/p/hunter-original-play-short-zinc/product/9159931/color/18332,https://m.media-amazon.com/images/I/61cX2mi-GGL.AC_SX600.jpg,1,95.0,98.0,3.0
Vans,Classic Slip-On™,https://www.zappos.com/p/vans-classic-slip-on-washed-tie-dye-true-white/product/7213526/color/875079,https://m.media-amazon.com/images/I/71Vihwdzc1L.AC_SX600.jpg,1,59.95,59.95,0.0
UGG,Oh Yeah Slide,https://www.zappos.com/p/ugg-oh-yeah-slide-margarita/product/9332936/color/8994,https://m.media-amazon.com/images/I/61fOT2inTDL.AC_SX600.jpg,1,99.95,99.95,0.0
Lacoste,Powercourt 0520 1,https://www.zappos.com/p/lacoste-powercourt-0520-1-grey-white/product/9449417/color/1522,https://m.media-amazon.com/images/I/617d7IIn9RL.AC_SX600.jpg,1,62.34,90.0,31.0
Kamik,Iceland F,https://www.zappos.com/p/kamik-iceland-f-black/product/9404405/color/3,https://m.media-amazon.com/images/I/71MbuiUay5L.AC_SX600.jpg,1,99.95,99.95,0.0
Barefoot Dreams,Cozy Slipper,https://www.zappos.com/p/barefoot-dreams-cozy-slipper-heather-graphite-white/product/9488299/color/904194,https://m.media-amazon.com/images/I/719v8W0ar4L.AC_SX600.jpg,1,64.0,64.0,0.0
Sperry,Saltwater Duck,https://www.zappos.com/p/sperry-saltwater-duck-brown-navy/product/9414421/color/2311,https://m.media-amazon.com/images/I/71Ci3MWw5cL.AC_SX600.jpg,1,99.95,99.95,0.0
The North Face,Gordon Lyons Full Zip,https://www.zappos.com/p/the-north-face-gordon-lyons-full-zip-brandy-brown-dark-heather-root-brown-dark-heather/product/9226657/color/870387,https://m.media-amazon.com/images/I/81754GCIPDL.AC_SX600.jpg,1,69.25,99.0,30.0
Vans,Era™,https://www.zappos.com/p/vans-era-tiger-patchwork-black-true-white/product/7226566/color/875267,https://m.media-amazon.com/images/I/7162e0V0dlL.AC_SX1200.jpg,1,64.95,64.95,0.0
Herschel Supply Co.,Kaine,https://www.zappos.com/p/herschel-supply-co-kaine-peacoat-woodland-camo-lemon-chrome/product/9233938/color/867562,https://m.media-amazon.com/images/I/81sirPQhe-L.AC_SX600.jpg,1,59.44,84.99,30.0
Swatch,Masa - SO28B100,https://www.zappos.com/p/swatch-masa-so28b100-black/product/9494409/color/3,https://m.media-amazon.com/images/I/61AXaQpi7SL.AC_SX600.jpg,1,70.0,70.0,0.0
Dr. Martens,Cabrillo,https://www.zappos.com/p/dr-martens-cabrillo-gaucho-crazy-horse/product/8563206/color/1652,https://m.media-amazon.com/images/I/819oJa1H8OL.AC_SX600.jpg,1,99.95,99.95,0.0
UGG,Romeo,https://www.zappos.com/p/ugg-romeo-dark-grey/product/9400689/color/4854,https://m.media-amazon.com/images/I/71HCRAaObIL.AC_SX600.jpg,1,99.95,99.95,0.0
Vans,SK8-Hi MTE,https://www.zappos.com/p/vans-sk8-hi-mte-mte-suede-antique-white/product/8348962/color/875889,https://m.media-amazon.com/images/I/71JRsC+lavL.AC_SX600.jpg,1,89.95,89.95,0.0
Dr. Martens,Bonny Tech,https://www.zappos.com/p/dr-martens-bonny-tech-black-khaki-element-camo-poly/product/9314533/color/869292,https://m.media-amazon.com/images/I/81tRchdmp+L.AC_SX600.jpg,1,94.95,94.95,0.0
Nine West,Best,https://www.zappos.com/p/nine-west-best-taupe/product/9488519/color/11,https://m.media-amazon.com/images/I/71MviITcfnL.AC_SX600.jpg,1,55.99,69.0,19.0
Yellow Box,Tarox,https://www.zappos.com/p/yellow-box-tarox-cow/product/9464757/color/51339,https://m.media-amazon.com/images/I/71g3Y7Abd8L.AC_SX600.jpg,1,64.99,80.0,19.0
UGG,Shaye,https://www.zappos.com/p/ugg-shaye-charcoal/product/8661726/color/275,https://m.media-amazon.com/images/I/61OZOPckVIL.AC_SX600.jpg,1,84.95,84.95,0.0
Roxy,Monika Faux Leather Boots,https://www.zappos.com/p/roxy-monika-faux-leather-boots-brown/product/9407239/color/6,https://m.media-amazon.com/images/I/71OihcfTT7L.AC_SX600.jpg,1,88.95,88.95,0.0
Sam Edelman,Ethyl,https://www.zappos.com/p/sam-edelman-ethyl-beach-multi-pacific-snake/product/9357931/color/856507,https://m.media-amazon.com/images/I/817vbFN8y8L.AC_SX1200.jpg,1,69.0,99.95,31.0
The North Face,Canyonlands Full Zip,https://www.zappos.com/p/the-north-face-canyonlands-full-zip-mallard-blue-heather/product/8812223/color/870358,https://m.media-amazon.com/images/I/81K8e9uxM0L.AC_SX600.jpg,1,79.95,79.95,0.0
Clarks,Bushacre 2,https://www.zappos.com/p/clarks-bushacre-2-light-grey-interest-nubuck/product/7743791/color/850114,https://m.media-amazon.com/images/I/71Z0+aZEsvL.AC_SX600.jpg,1,99.95,99.95,0.0
The North Face,Osito Jacket,https://www.zappos.com/p/the-north-face-osito-jacket-asphalt-grey/product/9233736/color/71628,https://m.media-amazon.com/images/I/81aI0tXe8UL.AC_SX600.jpg,1,69.25,99.0,30.0
DV Dolce Vita,Kerry,https://www.zappos.com/p/dv-dolce-vita-kerry-taupe/product/9454701/color/11,https://m.media-amazon.com/images/I/81tT2wIoftL.AC_SX600.jpg,1,56.09,69.0,19.0
Happy Socks,4-Pack Disney Holiday Gift Set,https://www.zappos.com/p/happy-socks-4-pack-disney-holiday-gift-set-dark-red/product/9439154/color/4188,https://m.media-amazon.com/images/I/816Lk6Y+N4L.AC_SX600.jpg,1,64.0,64.0,0.0
MICHAEL Michael Kors,Jet Set Large Zip Pouch,https://www.zappos.com/p/michael-michael-kors-jet-set-large-zip-pouch-cider-multi/product/9455304/color/892704,https://m.media-amazon.com/images/I/91Ow4HoYhwL.AC_SX600.jpg,1,73.5,98.0,25.0
Pendleton,Chief Joseph Muchacho Blanket,https://www.zappos.com/p/pendleton-chief-joseph-muchacho-blanket-purple/product/8791440/color/574,https://m.media-amazon.com/images/I/91AhRwilSfL.AC_SX600.jpg,1,74.63,99.5,25.0
MICHAEL Michael Kors,Jet Set Medium Passport Wallet,https://www.zappos.com/p/michael-michael-kors-jet-set-medium-passport-wallet-brown-multi/product/9462190/color/3091,https://m.media-amazon.com/images/I/91kD25rP7qL.AC_SX600.jpg,1,58.5,78.0,25.0
UGG,Blanche II Robe,https://www.zappos.com/p/ugg-blanche-ii-robe-black-bear-heather/product/9101765/color/579596,https://m.media-amazon.com/images/I/713EirRgQsL.AC_SX600.jpg,1,97.95,97.95,0.0
